ID,Item description,Category-Type,QTY,Price,Total,Status,Revenue,Date Sold,Date Sold Summary,Summary Total
YSI-19,Eye Glasses - Blue,Accessories: Glasses,1,$5.00,$5.00,On Sale,,,,Overall Progress (Overall%20Progress%20843e8c8a75434f88b639958012e11acb.md)
YSI-20,Wallet - Womens Guess Black,Accessories: Bags,1,$5.00,$5.00,On Sale,,,,Overall Progress (Overall%20Progress%20843e8c8a75434f88b639958012e11acb.md)
YSI-21,Eye Glasses - Black,Accessories: Glasses,1,$5.00,$5.00,On Sale,,,,Overall Progress (Overall%20Progress%20843e8c8a75434f88b639958012e11acb.md)
YSI-22,Knee Shin Guards,Accessories: Sports Gear,2,$10.00,$20.00,On Sale,,,,Overall Progress (Overall%20Progress%20843e8c8a75434f88b639958012e11acb.md)
YSI-23,Wifi Extender - TpLink,Electronics: Smart Home Devices,1,$5.00,$5.00,On Sale,,,,Overall Progress (Overall%20Progress%20843e8c8a75434f88b639958012e11acb.md)
YSI-24,Red Womens Shoes - Tennis Size 11,Accessories: Shoes,1,$10.00,$10.00,On Sale,,,,Overall Progress (Overall%20Progress%20843e8c8a75434f88b639958012e11acb.md)
YSI-25,USB to HDMI Splitter,Electronics: Cables and Chargers,1,$5.00,$5.00,On Sale,,,,Overall Progress (Overall%20Progress%20843e8c8a75434f88b639958012e11acb.md)
YSI-26,Book - Girl in Pieces,Books,1,$2.00,$2.00,On Sale,,,,Overall Progress (Overall%20Progress%20843e8c8a75434f88b639958012e11acb.md)
YSI-27,Empty,,,,$0.00,Pending,,,,Overall Progress (Overall%20Progress%20843e8c8a75434f88b639958012e11acb.md)
YSI-28,Wifi Extender Netgear,Electronics: Smart Home Devices,1,$5.00,$5.00,On Sale,,,,Overall Progress (Overall%20Progress%20843e8c8a75434f88b639958012e11acb.md)
YSI-29,Wifi Extender TPLink,Electronics: Smart Home Devices,1,$5.00,$5.00,On Sale,,,,Overall Progress (Overall%20Progress%20843e8c8a75434f88b639958012e11acb.md)
YSI-30,Wifi Adapter TP Link,Electronics: Smart Home Devices,1,$5.00,$5.00,On Sale,,,,Overall Progress (Overall%20Progress%20843e8c8a75434f88b639958012e11acb.md)
YSI-31,Photo Album,Accessories: Photo Albums,1,$2.00,$2.00,On Sale,,,,Overall Progress (Overall%20Progress%20843e8c8a75434f88b639958012e11acb.md)
YSI-32,Holiday Wrapping Paper,Accessories: Holiday Supplies,1,$1.00,$1.00,On Sale,,,,Overall Progress (Overall%20Progress%20843e8c8a75434f88b639958012e11acb.md)
YSI-33,T-Shirt Mens - Graphic california,Clothing: Men's Clothes,1,,$0.00,Sold,$1.00,"August 3, 2024",August 3 (August%203%204056f26bdf4c47e38e61a1c8d2e99f6b.md),Overall Progress (Overall%20Progress%20843e8c8a75434f88b639958012e11acb.md)
YSI-34,T-Shift Womens - Graphic Sugar Skull,,1,,$0.00,On Sale,,,,Overall Progress (Overall%20Progress%20843e8c8a75434f88b639958012e11acb.md)
