Document Title,Main Section,Parent item,Page Numbers,Type Main,Filing Status,Relevant Dates,Google Drive File,Priority,Notes,Document Link,Sub-item,Detail Type,Related Evidence,Related Form,Tags,Type Combined,crea,Last edited time
0274 – Financial Evidence,0200–0299: FORMS & APPLICATIONS,0270 – I-485 – Adjustment of Status (0270%20%E2%80%93%20I-485%20%E2%80%93%20Adjustment%20of%20Status%201ebf84a0440280798d02e7644c8d6935.csv),,Form(s),Not Started,,,,,,,Evidence,,I-485,,Form(s)-Evidence-I-485,"May 5, 2025 8:55 PM","June 22, 2025 5:43 AM"
0294 – Hardship Statement,0200–0299: FORMS & APPLICATIONS,0290 — Waivers (0290%20%E2%80%94%20Waivers%201ebf84a04402802f9535f50d7874a4d2.csv),,Form(s),Not Started,,,,,,,Statements,,"I-601, I-601A",,"Form(s)-Statements-I-601,I-601A","May 5, 2025 8:55 PM","June 22, 2025 5:43 AM"
0295 – Proof of Family Ties,0200–0299: FORMS & APPLICATIONS,0290 — Waivers (0290%20%E2%80%94%20Waivers%201ebf84a04402802f9535f50d7874a4d2.csv),,Form(s),Not Started,,,,,,,Evidence,,"I-601, I-601A",,"Form(s)-Evidence-I-601,I-601A","May 5, 2025 8:55 PM","June 22, 2025 5:43 AM"
0265 – Expert Evidence,0200–0299: FORMS & APPLICATIONS,0260 – I-589 – Asylum (0260%20%E2%80%93%20I-589%20%E2%80%93%20Asylum%201ebf84a044028065a6ebecd8294187a7.csv),,Form(s),Not Started,,,,,,,Evidence,,I-589,,Form(s)-Evidence-I-589,"May 5, 2025 8:55 PM","June 22, 2025 5:43 AM"
0261 – Form I-589,0200–0299: FORMS & APPLICATIONS,0260 – I-589 – Asylum (0260%20%E2%80%93%20I-589%20%E2%80%93%20Asylum%201ebf84a044028065a6ebecd8294187a7.csv),,Form(s),Not Started,,,,,,,Section Header,,I-589,,Form(s)-Section Header-I-589,"May 5, 2025 8:55 PM","June 22, 2025 5:43 AM"
0290 — Waivers,0200–0299: FORMS & APPLICATIONS,0200–0299 FORMS & APPLICATIONS (0200%E2%80%930299%20FORMS%20&%20APPLICATIONS%201ebf84a044028030aec2d76eb9936e9d.csv),,Form(s),Not Started,,,,,,"0294 – Hardship Statement (0294%20%E2%80%93%20Hardship%20Statement%201ebf84a04402800aaf4bec6c325ab5a2.csv), 0291 — I-601A Form Completed (0291%20%E2%80%94%20I-601A%20Form%20Completed%201f2f84a0440280768b3ac441db70d9bc.csv), 0292 — I-601 Form Completed (0292%20%E2%80%94%20I-601%20Form%20Completed%201f2f84a04402805d8059c052f88800f5.csv), 0295 – Proof of Family Ties (0295%20%E2%80%93%20Proof%20of%20Family%20Ties%201ebf84a0440280fbbf6bdd396ac32e58.csv)",Section Header,,"I-601, I-601A",,"Form(s)-Section Header-I-601,I-601A","May 5, 2025 8:55 PM","June 22, 2025 5:43 AM"
0263 – Country Reports,0200–0299: FORMS & APPLICATIONS,0260 – I-589 – Asylum (0260%20%E2%80%93%20I-589%20%E2%80%93%20Asylum%201ebf84a044028065a6ebecd8294187a7.csv),,Form(s),Not Started,,,,,,,Reports,,I-589,,Form(s)-Reports-I-589,"May 5, 2025 8:55 PM","June 22, 2025 5:43 AM"
0262 – Personal Declaration,0200–0299: FORMS & APPLICATIONS,0260 – I-589 – Asylum (0260%20%E2%80%93%20I-589%20%E2%80%93%20Asylum%201ebf84a044028065a6ebecd8294187a7.csv),,Form(s),Not Started,,,,,,,Declaration,,I-589,,Form(s)-Declaration-I-589,"May 5, 2025 8:55 PM","June 22, 2025 5:43 AM"
0264 – Supporting Letters,0200–0299: FORMS & APPLICATIONS,0260 – I-589 – Asylum (0260%20%E2%80%93%20I-589%20%E2%80%93%20Asylum%201ebf84a044028065a6ebecd8294187a7.csv),,Form(s),Not Started,,,,,,,Supporting,,I-589,,Form(s)-Supporting-I-589,"May 5, 2025 8:55 PM","June 22, 2025 5:43 AM"
0260 – I-589 – Asylum,0200–0299: FORMS & APPLICATIONS,0200–0299 FORMS & APPLICATIONS (0200%E2%80%930299%20FORMS%20&%20APPLICATIONS%201ebf84a044028030aec2d76eb9936e9d.csv),,Form(s),Not Started,,,,,,"0261 – Form I-589 (0261%20%E2%80%93%20Form%20I-589%201ebf84a0440280298266c44e43f2b55c.csv), 0265 – Expert Evidence (0265%20%E2%80%93%20Expert%20Evidence%201ebf84a0440280edadc7e8e97a42e9d1.csv), 0264 – Supporting Letters (0264%20%E2%80%93%20Supporting%20Letters%201ebf84a0440280ed8755e1b5959a0416.csv), 0263 – Country Reports (0263%20%E2%80%93%20Country%20Reports%201ebf84a0440280c6a6e4c0a16fa228da.csv), 0262 – Personal Declaration (0262%20%E2%80%93%20Personal%20Declaration%201ebf84a0440280d08901f553f754d3c1.csv)",Section Header,,I-589,,Form(s)-Section Header-I-589,"May 5, 2025 8:55 PM","June 22, 2025 5:43 AM"
0285 – Affidavit of Support (I-864),0200–0299: FORMS & APPLICATIONS,0200–0299 FORMS & APPLICATIONS (0200%E2%80%930299%20FORMS%20&%20APPLICATIONS%201ebf84a044028030aec2d76eb9936e9d.csv),,Form(s),Not Started,,,,,,,Affidavit,,"I-485, I-864",,"Form(s)-Affidavit-I-864,I-485","May 5, 2025 8:55 PM","June 22, 2025 5:43 AM"
0280 – I-130 Approval Notice (Referenced Only),0200–0299: FORMS & APPLICATIONS,0200–0299 FORMS & APPLICATIONS (0200%E2%80%930299%20FORMS%20&%20APPLICATIONS%201ebf84a044028030aec2d76eb9936e9d.csv),,Form(s),Not Started,,,,,,,Approval(s),,"I-130, I-485",,"Form(s)-Approval(s)-I-130,I-485","May 5, 2025 8:55 PM","June 22, 2025 5:43 AM"
0273 – Medical Exam,0200–0299: FORMS & APPLICATIONS,0270 – I-485 – Adjustment of Status (0270%20%E2%80%93%20I-485%20%E2%80%93%20Adjustment%20of%20Status%201ebf84a0440280798d02e7644c8d6935.csv),,Form(s),Not Started,,,,,,,Medical,,I-485,,Form(s)-Medical-I-485,"May 5, 2025 8:55 PM","June 22, 2025 5:43 AM"
0275 – Proof of Lawful Entry / Status,0200–0299: FORMS & APPLICATIONS,0270 – I-485 – Adjustment of Status (0270%20%E2%80%93%20I-485%20%E2%80%93%20Adjustment%20of%20Status%201ebf84a0440280798d02e7644c8d6935.csv),,Form(s),Not Started,,,,,,,Entry,,I-485,,Form(s)-Entry-I-485,"May 5, 2025 8:55 PM","June 22, 2025 5:43 AM"
0234 – Proof of Family Relationship,0200–0299: FORMS & APPLICATIONS,0230 – I-131 – Advance Parole (0230%20%E2%80%93%20I-131%20%E2%80%93%20Advance%20Parole%201ebf84a04402803fad91f0d7151b0386.csv),,Form(s),Not Started,,,,,,,Evidence,,I-131,,Form(s)-Evidence-I-131,"May 5, 2025 8:55 PM","June 22, 2025 5:43 AM"
0235 – Supporting Cover Letter,0200–0299: FORMS & APPLICATIONS,0230 – I-131 – Advance Parole (0230%20%E2%80%93%20I-131%20%E2%80%93%20Advance%20Parole%201ebf84a04402803fad91f0d7151b0386.csv),,Form(s),Not Started,,,,,,,Supporting,,I-131,,Form(s)-Supporting-I-131,"May 5, 2025 8:55 PM","June 22, 2025 5:43 AM"
0270 – I-485 – Adjustment of Status,0200–0299: FORMS & APPLICATIONS,0200–0299 FORMS & APPLICATIONS (0200%E2%80%930299%20FORMS%20&%20APPLICATIONS%201ebf84a044028030aec2d76eb9936e9d.csv),,Form(s),Not Started,,,,,,"0276 – Psychological Evidence (0276%20%E2%80%93%20Psychological%20Evidence%201ebf84a044028014b8dadb19198eb99e.csv), 0274 – Financial Evidence (0274%20%E2%80%93%20Financial%20Evidence%201ebf84a044028074b464ef75d90da9c7.csv), 0275 – Proof of Lawful Entry / Status (0275%20%E2%80%93%20Proof%20of%20Lawful%20Entry%20Status%201ebf84a0440280f4bf17c657408a848b.csv), 0273 – Medical Exam (0273%20%E2%80%93%20Medical%20Exam%201ebf84a0440280d8a752e6ee22805dbf.csv), 0271 – I-485 – Overview (0271%20%E2%80%93%20I-485%20%E2%80%93%20Overview%201ebf84a0440280caa36bcb59bab8149c.csv), 0272 – Completed Form I-485 (0272%20%E2%80%93%20Completed%20Form%20I-485%201ebf84a044028083a7fbdaaa01b805dd.csv)",Section Header,,I-485,,Form(s)-Section Header-I-485,"May 5, 2025 8:55 PM","June 22, 2025 5:43 AM"
0272 – Completed Form I-485,0200–0299: FORMS & APPLICATIONS,0270 – I-485 – Adjustment of Status (0270%20%E2%80%93%20I-485%20%E2%80%93%20Adjustment%20of%20Status%201ebf84a0440280798d02e7644c8d6935.csv),,Form(s),Not Started,,,,,,,Completed,,I-485,,Form(s)-Completed-I-485,"May 5, 2025 8:55 PM","June 22, 2025 5:43 AM"
0271 – I-485 – Overview,0200–0299: FORMS & APPLICATIONS,0270 – I-485 – Adjustment of Status (0270%20%E2%80%93%20I-485%20%E2%80%93%20Adjustment%20of%20Status%201ebf84a0440280798d02e7644c8d6935.csv),,Form(s),Not Started,,,,,,,Summary,,I-485,,Form(s)-Summary-I-485,"May 5, 2025 8:55 PM","June 22, 2025 5:43 AM"
0230 – I-131 – Advance Parole,0200–0299: FORMS & APPLICATIONS,0200–0299 FORMS & APPLICATIONS (0200%E2%80%930299%20FORMS%20&%20APPLICATIONS%201ebf84a044028030aec2d76eb9936e9d.csv),,Form(s),Not Started,,,,,,"0235 – Supporting Cover Letter (0235%20%E2%80%93%20Supporting%20Cover%20Letter%201ebf84a044028072a1abd3702b74483e.csv), 0234 – Proof of Family Relationship (0234%20%E2%80%93%20Proof%20of%20Family%20Relationship%201ebf84a044028046b391c78621f24b5a.csv), 0233 – Travel ID Docs (0233%20%E2%80%93%20Travel%20ID%20Docs%201ebf84a04402807e8c90f31e906416da.csv), 0232 – Emergency / Humanitarian Evidence (0232%20%E2%80%93%20Emergency%20Humanitarian%20Evidence%201ebf84a04402809a8920db3439bfd8fa.csv), 0231 – Completed Form I-131 (0231%20%E2%80%93%20Completed%20Form%20I-131%201ebf84a0440280f4bfb2f7e43ec33f5e.csv)",Section Header,,I-131,,Form(s)-Section Header-I-131,"May 5, 2025 8:55 PM","June 22, 2025 5:43 AM"
0233 – Travel ID Docs,0200–0299: FORMS & APPLICATIONS,0230 – I-131 – Advance Parole (0230%20%E2%80%93%20I-131%20%E2%80%93%20Advance%20Parole%201ebf84a04402803fad91f0d7151b0386.csv),,Form(s),Not Started,,,,,,,Travel Docs,,I-131,,Form(s)-Travel Docs-I-131,"May 5, 2025 8:55 PM","June 22, 2025 5:43 AM"
0232 – Emergency / Humanitarian Evidence,0200–0299: FORMS & APPLICATIONS,0230 – I-131 – Advance Parole (0230%20%E2%80%93%20I-131%20%E2%80%93%20Advance%20Parole%201ebf84a04402803fad91f0d7151b0386.csv),,Form(s),Not Started,,,,,,,Evidence,,I-131,,Form(s)-Evidence-I-131,"May 5, 2025 8:55 PM","June 22, 2025 5:43 AM"
0231 – Completed Form I-131,0200–0299: FORMS & APPLICATIONS,0230 – I-131 – Advance Parole (0230%20%E2%80%93%20I-131%20%E2%80%93%20Advance%20Parole%201ebf84a04402803fad91f0d7151b0386.csv),,Form(s),Not Started,,,,,,,Completed,,I-131,,Form(s)-Completed-I-131,"May 5, 2025 8:55 PM","June 22, 2025 5:43 AM"
0210 – I-94 / Entry Documents,0200–0299: FORMS & APPLICATIONS,0200 — Employment Authorization (0200%20%E2%80%94%20Employment%20Authorization%201ebf84a04402809bb8b1f3ac13c08ae1.csv),,Form(s),Not Started,,,,,,,Entry,,"I-765, I-94",,"Form(s)-Entry-I-765,I-94","May 5, 2025 8:55 PM","June 22, 2025 5:43 AM"
0225 – Supporting Cover Letter,0200–0299: FORMS & APPLICATIONS,0200 — Employment Authorization (0200%20%E2%80%94%20Employment%20Authorization%201ebf84a04402809bb8b1f3ac13c08ae1.csv),,Form(s),Not Started,,,,,,,Supporting,,I-765,,Form(s)-Supporting-I-765,"May 5, 2025 8:55 PM","June 22, 2025 5:43 AM"
0220 – Work Permit History,0200–0299: FORMS & APPLICATIONS,0200 — Employment Authorization (0200%20%E2%80%94%20Employment%20Authorization%201ebf84a04402809bb8b1f3ac13c08ae1.csv),,Form(s),Not Started,,,,,,,History,,I-765,,Form(s)-History-I-765,"May 5, 2025 8:55 PM","June 22, 2025 5:43 AM"
0215 – Parole / CBP Entry Docs,0200–0299: FORMS & APPLICATIONS,0200 — Employment Authorization (0200%20%E2%80%94%20Employment%20Authorization%201ebf84a04402809bb8b1f3ac13c08ae1.csv),,Form(s),Not Started,,,,,,,Parole,,I-765,,Form(s)-Parole-I-765,"May 5, 2025 8:55 PM","June 22, 2025 5:43 AM"
0200–0299 FORMS & APPLICATIONS,0200–0299: FORMS & APPLICATIONS,,,Binder,Not Started,,,,,,"0285 – Affidavit of Support (I-864) (0285%20%E2%80%93%20Affidavit%20of%20Support%20(I-864)%201ebf84a0440280a6b2cbeb877eed115f.csv), 0280 – I-130 Approval Notice (Referenced Only) (0280%20%E2%80%93%20I-130%20Approval%20Notice%20(Referenced%20Only)%201ebf84a0440280b7b9e1e7f2cbb90b8a.csv), 0200 — Employment Authorization (0200%20%E2%80%94%20Employment%20Authorization%201ebf84a04402809bb8b1f3ac13c08ae1.csv), 0290 — Waivers (0290%20%E2%80%94%20Waivers%201ebf84a04402802f9535f50d7874a4d2.csv), 0260 – I-589 – Asylum (0260%20%E2%80%93%20I-589%20%E2%80%93%20Asylum%201ebf84a044028065a6ebecd8294187a7.csv), 0270 – I-485 – Adjustment of Status (0270%20%E2%80%93%20I-485%20%E2%80%93%20Adjustment%20of%20Status%201ebf84a0440280798d02e7644c8d6935.csv), 0230 – I-131 – Advance Parole (0230%20%E2%80%93%20I-131%20%E2%80%93%20Advance%20Parole%201ebf84a04402803fad91f0d7151b0386.csv)",Section,,ALL,,Binder-Section-ALL,"May 5, 2025 8:55 PM","June 22, 2025 5:43 AM"
0205 – Completed Form I-765,0200–0299: FORMS & APPLICATIONS,0200 — Employment Authorization (0200%20%E2%80%94%20Employment%20Authorization%201ebf84a04402809bb8b1f3ac13c08ae1.csv),,Form(s),Not Started,,,,,,,Completed,,I-765,,Form(s)-Completed-I-765,"May 5, 2025 8:55 PM","June 22, 2025 5:43 AM"
0200 — Employment Authorization,0200–0299: FORMS & APPLICATIONS,0200–0299 FORMS & APPLICATIONS (0200%E2%80%930299%20FORMS%20&%20APPLICATIONS%201ebf84a044028030aec2d76eb9936e9d.csv),,Form(s),Not Started,,,,,,"0201 – I-765 – EAD Overview (0201%20%E2%80%93%20I-765%20%E2%80%93%20EAD%20Overview%201f2f84a04402802cb364ceb6876de9dc.csv), 0205 – Completed Form I-765 (0205%20%E2%80%93%20Completed%20Form%20I-765%201ebf84a044028055987ed7b6b071e036.csv), 0225 – Supporting Cover Letter (0225%20%E2%80%93%20Supporting%20Cover%20Letter%201ebf84a04402807582fcf1ecea92b14a.csv), 0220 – Work Permit History (0220%20%E2%80%93%20Work%20Permit%20History%201ebf84a0440280b790bcc57d2c603c0a.csv), 0215 – Parole / CBP Entry Docs (0215%20%E2%80%93%20Parole%20CBP%20Entry%20Docs%201ebf84a0440280f4995aecb75b3f9d69.csv), 0210 – I-94 / Entry Documents (0210%20%E2%80%93%20I-94%20Entry%20Documents%201ebf84a04402806a966eeb7fa0b31ad0.csv), 0202 – C-11 Evidence (Parole Category Support) (0202%20%E2%80%93%20C-11%20Evidence%20(Parole%20Category%20Support)%201f2f84a04402806289ead8bdb89e528e.csv)",Section Header,,I-765,,Form(s)-Section Header-I-765,"May 5, 2025 8:55 PM","June 22, 2025 5:43 AM"
0355 – Misc. Supporting Evidence,0300–0399: EVIDENCE,0300–0399 EVIDENCE (0300%E2%80%930399%20EVIDENCE%201f2f84a04402805a8fa7cada4b17faae.csv),,Evidence,Not Started,,,,,,,Misc.,,NA,,Evidence-Misc.-NA,"May 13, 2025 6:21 PM","June 22, 2025 5:43 AM"
0325 – Employment Verification / Pay Stubs,0300–0399: EVIDENCE,0300–0399 EVIDENCE (0300%E2%80%930399%20EVIDENCE%201f2f84a04402805a8fa7cada4b17faae.csv),,Evidence,Not Started,,,,,,,Employment,,NA,,Evidence-Employment-NA,"May 13, 2025 6:21 PM","June 22, 2025 5:43 AM"
