Title,Areas,Status,Is Active,Favorite,Type,AI keywords,AI summary,Archived,Created,Details,Files & media,Integration,Is Web Note,Media,Mood,Note Content,Parent item,Related Note,Sub-item,Tags,Type 2,URL,UUID,Updated,_TAX RETURN MASTER TRACKING SHEET,👥 All Contacts (OS)
Business Workspace Kit For Luis,,Not started,No,No,,,,,,,,,,,,,,,,,,,,,,
Square Dashboard,,Done,No,No,,,,,,,,,,,,,,,,,,,,,,
"@November 3,2024 8:23 PM Morning Entry ",,Not started,No,No,,,,,,,,,,,,,,,,,,,,,
"@November 3,2024 8:25 PM Midday Entry (2) ",,Not started,No,No,,,,,,,,,,,,,,,,,,,,,
"@November 3,2024 9:11 PM -QIP | Quantum Innova People Inc. | HR,Staffing,and Compliance Solutions ",,Not started,,,,,,,,,,,,,,,,,,,,,
"@November 4,2024 2:59 AM Day Entry 4",,Not started,No,No,,,,,,,,,,,,,,,,,,,,,
"DAILY REFLECTIONS ‣ ",,Not started,No,No,,,,,,,,,,,,,,,,,,,,,,
"""Registered Agent Appointment,,,,,,,,,,,,,,,,,,,,,,,,,,
InboxSearch for all messages with label InboxRemove label Inbox from this conversation,,,,,,,,,,,,,,,,,,,,,,,,,,
noreply@sos.in.gov,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed,Oct 30,11:34 AM (5 days ago),,,,,,,,,,,,,,,,,,,,,,,,
to me,,,,,,,,,,,,,,,,,,,,,,,,,,
Appointment as Registered Agent,,,,,,,,,,,,,,,,,,,,,,,,,,
October 30,2024,,,,,,,,,,,,,,,,,,,,,,,,,
RE: QUANTUM INNOVA PEOPLE INC,,,,,,,,,,,,,,,,,,,,,,,,,,
202410291835716,,,,,,,,,,,,,,,,,,,,,,,,,,
The business listed above has appointed you as their Registered Agent.,,,,,,,,,,,,,,,,,,,,,,,,,,
A registered agent serves as a business’s agent for service of process,notice,or demand required or permitted by law to be served on a business.,,,,,,,,,,,,,,,,,,,,,,,,
If this appointment was made without your consent,you may request to be removed as the registered agent by filing a Statement of Resignation of Registered Agent at http://www.INBiz.IN.gov. or by completing and submitting State Form 26285 – Statement of Resignation of Registered Agent (https://forms.in.gov/Download.aspx?id=4868) to the Secretary of State’s Office.,,,,,,,,,,,,,,,,,,,,,,,,,
As provided in the Indiana statute,the appointment will continue for thirty-one (31) days after the effective date of the Registered Agent Resignation. Thereafter,the information will no longer appear online.,,,,,,,,,,,,,,,,,,,,,,,,
If you have any questions or need assistance,please contact our office at (317) 232-6576.,,,,,,,,,,,,,,,,,,,,,,,,,
Sincerely,,,,,,,,,,,,,,,,,,,,,,,,,,
BUSINESS SERVICES DIVISION""",,Not started,No,No,,,,,,,,,,,,,,,,,,,,,,
"@November 4,2024 7:09 PM -Pole ",,Not started,No,No,,,,,,,,,,,,,,,,,,,,,
"@November 5,2024 5:17 PM -EIN Quantum Innova People Inc. - Individual Request - Online Application ",,Not started,No,No,,,,,,,,,,,,,,,,,,,,,
"@November 6,2024 12:59 AM Day Entry 1 ",,Not started,No,No,,,,,,,,,,,,,,,,,,,,,
"@November 6,2024 1:06 AM Day Entry 2",,Not started,No,No,,,,,,,,,,,,,,,,,,,,,
"@November 6,2024 1:12 AM -E-bike wiring diagram ",,Not started,No,No,,,,,,,,,,,,,,,,,,,,,
https://www.midwestcopier.com/sell-to-us/,,Not started,No,No,,,,,,,,,,,,,,,,,,,,,,
"@November 3,2024 8:54 PM - Note",,Not started,No,No,,,,,,,,,,,,,,,,,,,,,
"Based on the notes provided,here's a more detailed work summary:",,Not started,No,No,,,,,,,,,,,,,,,,,,,,,
Website Structure and Navigation: Updated website routes and directories to improve site organization and user navigation.,,Not started,No,No,,,,,,,,,,,,,,,,,,,,,,
Media Management: Renamed photos to ensure consistency and improve searchability.,,Not started,No,No,,,,,,,,,,,,,,,,,,,,,,
File System Organization: Restructured the root directory organization to enhance file management efficiency.,,Not started,No,No,,,,,,,,,,,,,,,,,,,,,,
User Interaction Improvements:,,Not started,No,No,,,,,,,,,,,,,,,,,,,,,,
Marketing Assets: Reorganized marketing materials to improve accessibility and streamline content management processes.,,Not started,No,No,,,,,,,,,,,,,,,,,,,,,,
"These updates collectively aim to enhance website functionality,user experience,and internal content management efficiency.",,Not started,No,,,,,,,,,,,,,,,,,,,,,
"@November 8,2024 3:37 AM - Reading",,Not started,No,No,,,,,,,,,,,,,,,,,,,,,
McDonald’s receipt on Innovafloe card,,Not started,No,No,,,,,,,,,,,,,,,,,,,,,,
"@November 10,2024 3:45 AM -Tracking | UPS - United States ",,Not started,No,No,,,,,,,,,,,,,,,,,,,,,
"@November 10,2024 3:46 AM -Tracking | UPS - United States ",,Not started,No,No,,,,,,,,,,,,,,,,,,,,,
"@November 10,2024 3:47 AM -USPS.com® - USPS Tracking® Results ",,Not started,No,No,,,,,,,,,,,,,,,,,,,,,
"@June 24,fearing potential problems if something happens to it. They are also dealing with issues related to insurance and feeling overwhelmed by their situation.",,No,"June 15,Not started,2024 Too much",Wellness,"The author expresses concern about being given responsibility for a car that is not theirs,No,,2024 8:41 AM",,,,No,No,,⭐️,,,,,,,,NT-90473784f08e472d961fa61651e78b0f
"@June 26,No,,IMG_7952.jpg,2024 10:11 AM",,2024 — General",,Reflect on the importance of being true to oneself and inspiring others to embrace their authenticity. Acknowledge the potential for greatness in others while encouraging them to recognize their flaws.,,"June 26,,No,,No,No,,⭐️⭐️⭐️⭐️,,,Not started,,,,,NT-2ad2aa0683ed420b8ff2da715c17ff2d,"April 26
"@June 28,transition,,and the role of leadership. It also highlights emotional processing through music and the significance of family,confronting gangsters,,2024 -Dream",,"The dream involves themes of social connection,and personal challenges. Key elements include helping others in a restaurant,moving into an apartment,and family memories. The dream reflects feelings of vulnerability,a desire for support,particularly a deceased uncle,during times of stress and change.",No,,"June 28,2024 12:52 PM",No,IMG_7968.jpeg,No,No,,⭐️⭐️⭐️,,
"@June 29,reciprocity,No,"June 29,and the tendency of some to downplay achievements or manipulate others' gifts. Observing patterns in relationships can help identify those who are only supportive when it benefits them.",,2024 — Chosen notes",,"Reflections on relationships highlight the importance of balance,and setting boundaries. Key points include recognizing energy vampires,the inconsistency of support from certain individuals,No,,2024 1:41 AM",,No,,,No,,⭐️⭐️⭐️⭐️,,,Not started,,,
"@June 11,2024,,prompting the author to take measures for security and cleanliness.",and stress from household responsibilities. The author struggled with interruptions,No,2024 — Feeling Helpless",,"The journal entry from June 11,reflects a challenging day filled with overwhelming work,injuries,felt unsupported in managing household tasks,and dealt with issues like unauthorized access to email and WiFi. A bleach spill in the laundry room added to the day's frustrations,No,,"June 29,2024 2:22 AM",,No,,No,,⭐️,,,,Not started
"@June 13,along with a task list that includes finishing a personal budget,,2024 2:22 AM",No,,2024 — Feeling Down",,"The journal entry reflects feelings of being down while expressing aspirations for financial stability and personal worth. The author shares affirmations of capability and self-worth,taking a shower,and addressing messages on Square.",,"June 29,,No,,,No,No,⭐️⭐️,,,Not started,,,,
"@July 4,2024,,2024 9:10 AM",No,,2024 Encounter with BWC",,"The diary entry from July 4,reflects a positive encounter related to trade,leaving the writer feeling good about themselves.",,"July 4,,No,,,No,No,⭐️⭐️⭐️⭐️⭐️,,,Not started,,,,
"@July 15,Wellness",No,,and task completion. Key tasks for the day included organizing receipts and doing Uber. The individual expressed gratitude for a colleague and noted challenges with a team member's attitude,⭐️⭐️⭐️⭐️⭐️,2024 Hope ","Experiences,Strategy,"The daily journal entry includes reflections on productivity,mood checks,while also affirming personal goals and intentions for the next day.",No,"July 15,2024 4:50 AM",,No,,,No,,,,,Not started,,
"Comprehensive Claim and Complaint Submission: Tesla Accident,"Submission outlines claims related to a Tesla accident,,No,detailing incidents,,Uber Rental Issues,and Insurance Coverage",,issues with Uber rentals,and requests for compensation,expenses,and impacts on livelihood. Supporting documents included.",,"July 22,2024 1:51 AM",,No,,No,No,,,,,Not started,
07-01-24,,,,,,,,No,"July 22,2024 1:51 AM",No,,No,No,,,,,Not started,,,,,NT-1891ad2e85c9447699cf54dfb4e66ab3,"April 26,2025 4:21 PM"
06-02-24,,,,,,,No content,No,"July 22,2024 1:51 AM",No,,No,No,,,,,Not started,,,,,NT-6ba5312631394b3f922d85f7bfadd810,"April 26,2025 4:21 PM"
07-06-24,,,,,,,No content,No,"July 22,2024 1:51 AM",No,,No,No,,,,,Not started,,,,,NT-94ab4fe96efd46c2824a811af868dfaf,"April 26,2025 4:21 PM"
06-08-24,,,,,,,,No,"July 22,2024 1:51 AM",No,,No,No,,,,,Not started,,,,,NT-0e54b35e3e624adebe60407fd0c543bc,"April 26,2025 4:21 PM"
06-13-24,,,,,,,,No,"July 22,2024 1:51 AM",No,,No,No,,,,,Not started,,,,,NT-410fe0e2c7c44edaaf106fb462b4f2b6,"April 26,2025 4:21 PM"
07-10-24,,,,,,,No content,No,"July 22,2024 1:51 AM",No,,No,No,,,,,Not started,,,,,NT-808df589812f460f98576de60695d668,"April 26,2025 4:21 PM"
06-30-24,,,,,,,No content,No,"July 22,2024 1:51 AM",No,,No,No,,,,,Not started,,,,,NT-b62fa817924d4d02b4dd123823b60559,"April 26,2025 4:21 PM"
06-30-24,,,,,,,No content,No,"July 22,2024 1:51 AM",No,,No,No,,,,,Not started,,,,,NT-c0ecacd74122404d91185c04017f7779,"April 26,2025 4:21 PM"
New Shipment Drop Office,,,,,,,No content,No,"July 22,2024 1:51 AM",No,,No,No,,,,,Not started,,,,,NT-cd1696cead6f42a1bd3f0c3a561fbf63,"April 26,2025 4:21 PM"
05-14-24,,,,,,,,No,"July 22,2024 1:51 AM",No,,No,No,,,,,Not started,,,,,NT-123559c343d54cbeb303a02724625641,"April 26,2025 4:21 PM"
04-20-24,,,,,,,No content,No,"July 22,2024 1:51 AM",No,,No,No,,,,,Not started,,,,,NT-2dfbb443ddfc4b58937890d5633b1ff3,"April 26,2025 4:21 PM"
06-30-24,,,,,,,,No,"July 22,2024 1:51 AM",No,,No,No,,,,,Not started,,,,,NT-3b4cb5fe3649434d98eb09eade66b523,"April 26,2025 4:21 PM"
05-08-24,,,,,,,,No,"July 22,2024 1:51 AM",No,,No,No,,,,,Not started,,,,,NT-54fa76741b104cbaa5a44142a96f86ee,"April 26,2025 4:21 PM"
06-30-24,,,,,,,No content,No,"July 22,2024 1:51 AM",No,,No,No,,,,,Not started,,,,,NT-652975b7c8524915a1e1213f17d9513f,"April 26,2025 4:21 PM"
Robert Rice’s Keys,,,,,,,No content,No,"July 22,2024 1:51 AM",No,,No,No,,,,,Not started,,,,,NT-c5c01329995c4c9ea5f891a9d902c7f9,"April 26,2025 4:21 PM"
06-02-24,,,,,,,No content,No,"July 22,2024 1:51 AM",No,,No,No,,,,,Not started,,,,,NT-fc9e0e2e7f00427f93032b1791429b74,"April 26,2025 4:21 PM"
LUIS MUNOZ ALTAMIRANO,,,,,,,,No,"July 22,2024 1:51 AM",No,,No,No,,,,,Not started,,,,,NT-21861fe26f884141ad2b3eba293f5ecf,"April 26,2025 4:21 PM"
06-08-24,,,,,,,,No,"July 22,2024 1:51 AM",No,,No,No,,,,,Not started,,,,,NT-298849714d6f4966a90530c3fe2680c3,"April 26,2025 4:21 PM"
05-31-24,,,,,,,No content,No,"July 22,2024 1:51 AM",No,,No,No,,,,,Not started,,,,,NT-6d6b96d9b6f042079a802eeca1fa374a,"April 26,2025 4:21 PM"
ITIN Renewal Shipment,,,,,,,No content,No,"July 22,2024 1:51 AM",No,,No,No,,,,,Not started,,,,,NT-a8b1f917363c4856abceeaea8e2cb040,"April 26,2025 4:21 PM"
06-02-24,,,,,,,No content,No,"July 22,2024 1:51 AM",No,,No,No,,,,,Not started,,,,,NT-b472919eb1024ee8940708af2dd53afc,"April 26,2025 4:21 PM"
07-06-24,,,,,,,No content,No,"July 22,2024 1:51 AM",No,,No,No,,,,,Not started,,,,,NT-c4864060b89448388a9fc08e809cd26f,"April 26,2025 4:21 PM"
Marvin’s Badoo Notes,and they have chatted on different apps.",,No,"July 22,Not started,,"A straight guy has shown interest,shared his number,No,,2024 1:59 AM",,,,No,No,,,,,,,,,,NT-33697443096645669cb7776a0e76ced0
video - Home - QHRPeople Recruit,No,,,2024 10:05 PM",,,"Video project for QHRPeople Recruit is not started,with a status update indicating it is inactive and archived.",,"October 27,,No,,No,No,,,,,Not started,,,,,NT-9f3e70903c8247ccac1cbf370ad42162,"April 26
The Employer’s Guide to Navigating Background Check Compliance - Checkr,"Employers must navigate a complex landscape of background check regulations to minimize risk and liability. Key strategies include understanding federal laws,No,"October 27,and selecting the appropriate background check provider.",,"Innovation,Strategy,Technology",avoiding common violations,staying updated on compliance trends,No,,2024 10:07 PM",,No,,,No,,,,,Not started,,,
Zoho / Checkr Integration User Guide,order background checks,,2024 10:08 PM",No,,,"This user guide provides detailed instructions for integrating Checkr with the Zoho platform,including steps to create a Checkr account,and utilize the Checkr dashboard. Key requirements include admin access to both platforms,and the guide outlines the process for initiating the integration and managing background check reports.",,"October 27,,No,,,No,No,,,,Not started,,,,
Squarespace — Login,,,,,,,No content,No,"October 27,2024 11:02 PM",No,,No,No,,,,,Not started,,,,,NT-eb02267e49df49358d8e1c5adc1d46b7,"April 26,2025 4:21 PM"
Zoho Mail - Admin Console,"Zia Search allows users to search across multiple Zoho applications,No,,start conversations,,"AI,Innovation,Technology",refine results by application or contact,and utilize fine-grained filters. Quick actions enable users to reply to emails,and edit records efficiently.",No,"October 27,2024 11:15 PM",,No,,,No,,,,,Not started,,
Admin Console - Reports,"Zia Search allows users to search,,and perform quick actions like replying to emails or editing records. The new Zia Search Edge add-on enables searching across 20+ Zoho Apps simultaneously.",and act within a single interface,No,"AI,Innovation,Technology",refine,review,with options to limit searches by application or contact,apply fine-grained filters,No,,"October 27,2024 11:18 PM",,No,,No,,,,,,Not started
Logo Maker | Used By 2.3 Million Startups,allows for additional time if needed and aims to provide a human touch to the logo creation process,,,,,,"The document describes a logo enhancement service where customers can work with an in-house graphic designer for one hour to improve their logo based on feedback. This service,available as an add-on,complementing the AI-powered logo maker.",No,"October 30,2024 6:51 PM",No,,,No,No,,,,Not started,,,,,
Business Workspace Kit For Luis,essential tools,,while providing detailed recommendations for hardware,security,,,"The document outlines a comprehensive guide for setting up a business workspace,including home and mobile office configurations,software,and tax deductions. It emphasizes the importance of space size,productivity,and ergonomics,software,and organization. It also includes a setup checklist to ensure a productive and secure environment tailored for business operations.",No,,"November 1,2024 6:06 PM",No,,No,No,,⭐️⭐️⭐️⭐️⭐️,,
Square Dashboard,performance and analytical,,2024 6:25 PM",No,,,"The content discusses cookie preferences for mobile applications and online services,detailing the types of cookies used (strictly necessary,functionality,and retargeting or advertising technology). Users can opt out of certain categories of cookies and manage their preferences to enhance their experience while using the services.",,"November 2,,No,,,No,No,,,,Done,,,,
"@November 3,including waking up,,2024 8:23 PM",No,,2024 8:23 PM Morning Entry ",,"The journal entry details a morning routine starting at 4:00 am,organizing belongings,and having breakfast at McDonald's using app deals. The writer attempted to meet a friend at a motel but received no response after waiting. The mood is rated as 2 stars physically and 3 stars emotionally.",,"November 3,,No,,,No,No,⭐️⭐️⭐️⭐️,,,Not started,,,,
"@November 3,2024,No,"November 3,and later used that money to buy food at McDonald's.",,2024 8:25 PM Midday Entry (2) ",,"The midday entry for November 3,reflects a good mood and energy level. The author traced a route to a friend's home but did not find him,interacted with a roommate who sent money for food,No,,2024 8:25 PM",,No,,,No,,⭐️⭐️⭐️,,,Not started,,,
"@November 3,"Innovation,collaboration,HR consulting via QuantumHR LLP,"Quantum Innova People Inc. offers innovative HR,,2024 9:11 PM -QIP | Quantum Innova People Inc. | HR,Staffing,and Compliance Solutions ",Strategy,Technology",staffing,and operational solutions to empower businesses. Their services include staffing solutions through InnovaHire LLC,and operational support from InnovaFlow Solutions LLC. The mission is to align strategy,people,and operations for sustained growth,guided by core values of innovation,integrity,client success,and excellence.",No,"November 3,2024 9:11 PM",,No,https://www.qhrpeople.com/favicon.png,
"@November 4,work on a Notion database,,2024 2:59 AM",No,,2024 2:59 AM Day Entry 4",,"The journal entry reflects a challenging day with feelings of frustration due to unfulfilled trades and lack of communication. The author managed to list items on eBay,and attempted to socialize,but faced issues with a McDonald's order and financial constraints. Plans for tomorrow include addressing financial issues and finding a stable work environment with internet access.",,"November 4,,No,,,No,No,⭐️⭐️,,,Not started,,,,
"DAILY REFLECTIONS ‣ ",supportive people who checked in,,2024 3:02 AM",No,,,"Today,the reflections include gratitude for a car,and a recognition of intelligence,though with a desire for greater intelligence overall.",,"November 4,,No,,,No,No,⭐️⭐️,,,Not started,,,,
BUSINESS SERVICES DIVISION""",No,,,2024 1:47 PM",,,"You have been appointed as the Registered Agent for QUANTUM INNOVA PEOPLE INC. If this appointment was made without your consent,you can resign by filing a Statement of Resignation of Registered Agent online or by submitting the required form to the Secretary of State’s Office. The appointment will remain effective for thirty-one days after the effective date.",,"November 4,,No,,No,No,,⭐️⭐️⭐️,,,Not started,,,,,NT-cb0f17ad1d6545bbb561a9af34ad18c8,"April 26
"@November 4,Technology",,No,downloading a QR code,,2024 7:09 PM -Pole ","AI,Innovation,"Shipping label generated for UPS Ground Saver service at a total cost of $15.30,with a tracking number provided. The item is to be shipped by November 6 to the specified address. Instructions for packing,and drop-off options are included,along with links for further actions such as printing the label and leaving feedback.",,"November 4,2024 6:29 PM",,No,https://pages.ebay.com/favicon.ico,No,Yes,⭐️⭐️⭐️⭐️⭐️,,,,Not started,
"@November 5,Technology",⭐️⭐️⭐️⭐️⭐️,,,,2024 5:17 PM -EIN Quantum Innova People Inc. - Individual Request - Online Application ","Innovation,Strategy,EIN 33-1809248 has been successfully assigned to Quantum Innova People Inc. It's important to save or print the confirmation page and letter for records. Additional information about using the EIN is available after saving the letter.,No,"November 5,2024 5:17 PM",No,https://sa.www4.irs.gov/modiein/individual/favicon.ico,,No,Yes,,,,Not started,,,,,https://sa.www4.irs.gov/modiein/individual/confirmation.jsp
"@November 6,including a troubling interaction with a friend named Luis and concerns about personal instability. The author expresses physical soreness and emotional distress,,2024 12:59 AM",No,,2024 12:59 AM Day Entry 1 ",,"The journal entry reflects on the author's mood and experiences from the previous night,feeling down about their life situation and the challenges in their relationship with Luis,who exhibits violent behavior.",,"November 6,,No,,,No,No,⭐️⭐️⭐️,,,Not started,,,,
"@November 6,with the author struggling to get out of bed despite consuming coffee and snacks. They completed a task of sending a package to USPS but did not work on planned projects. Instead,,2024 1:06 AM",No,,2024 1:06 AM Day Entry 2",,"The journal entry reflects a low energy level,they reorganized their desk to enhance productivity,hoping for better workflow with the new setup.",,"November 6,,No,,,No,No,⭐️⭐️⭐️⭐️,,,Not started,,,,
