ID,Item description,Category-Type,QTY,Price,Total,Status,Revenue,Date Sold,Date Sold Summary,Summary Total
YSI-23,Wifi Extender - TpLink,Electronics: Smart Home Devices,1.0,$5.00,$5.00,On Sale,,,,Overall Progress (Overall%20Progress%20843e8c8a75434f88b639958012e11acb.md)
YSI-24,Red Womens Shoes - Tennis Size 11,Accessories: Shoes,1.0,$10.00,$10.00,On Sale,,,,Overall Progress (Overall%20Progress%20843e8c8a75434f88b639958012e11acb.md)
YSI-25,USB to HDMI Splitter,Electronics: Cables and Chargers,1.0,$5.00,$5.00,On Sale,,,,Overall Progress (Overall%20Progress%20843e8c8a75434f88b639958012e11acb.md)
YSI-26,Book - Girl in Pieces,Books,1.0,$2.00,$2.00,On Sale,,,,Overall Progress (Overall%20Progress%20843e8c8a75434f88b639958012e11acb.md)
YSI-27,Empty,,,,$0.00,Pending,,,,Overall Progress (Overall%20Progress%20843e8c8a75434f88b639958012e11acb.md)
YSI-28,Wifi Extender Netgear,Electronics: Smart Home Devices,1.0,$5.00,$5.00,On Sale,,,,Overall Progress (Overall%20Progress%20843e8c8a75434f88b639958012e11acb.md)
YSI-29,Wifi Extender TPLink,Electronics: Smart Home Devices,1.0,$5.00,$5.00,On Sale,,,,Overall Progress (Overall%20Progress%20843e8c8a75434f88b639958012e11acb.md)
YSI-30,Wifi Adapter TP Link,Electronics: Smart Home Devices,1.0,$5.00,$5.00,On Sale,,,,Overall Progress (Overall%20Progress%20843e8c8a75434f88b639958012e11acb.md)
YSI-31,Photo Album,Accessories: Photo Albums,1.0,$2.00,$2.00,On Sale,,,,Overall Progress (Overall%20Progress%20843e8c8a75434f88b639958012e11acb.md)
YSI-32,Holiday Wrapping Paper,Accessories: Holiday Supplies,1.0,$1.00,$1.00,On Sale,,,,Overall Progress (Overall%20Progress%20843e8c8a75434f88b639958012e11acb.md)
YSI-33,T-Shirt Mens - Graphic california,Clothing: Men's Clothes,1.0,,$0.00,Sold,$1.00,"August 3, 2024",August 3 (August%203%204056f26bdf4c47e38e61a1c8d2e99f6b.md),Overall Progress (Overall%20Progress%20843e8c8a75434f88b639958012e11acb.md)
YSI-34,T-Shift Womens - Graphic Sugar Skull,,1.0,,$0.00,On Sale,,,,Overall Progress (Overall%20Progress%20843e8c8a75434f88b639958012e11acb.md)
YSI-2,Aux Cable Black,Electronics: Cables and Chargers,2.0,$1.00,,On Sale,,,,
YSI-4,Aux Cable Gray - HD,Electronics: Cables and Chargers,1.0,$3.00,,On Sale,,,,
YSI-26,Book - Girl in Pieces,Books,1.0,$2.00,,On Sale,,,,
YSI-5,Data Cable Scan Print Black,Electronics: Cables and Chargers,1.0,$1.00,,On Sale,,,,
YSI-13,Decorative Canvas Painting 5*7 “Best Friends”,Accessories: Home Accessories,1.0,$2.00,,On Sale,,,,
YSI-11,Decorative Canvas Painting 5*7 “Family Rules”,Accessories: Home Accessories,1.0,$2.00,,On Sale,,,,
YSI-12,Decorative Canvas Painting 5*7 “Imagine Create Dream”,Accessories: Home Accessories,1.0,$2.00,,On Sale,,,,
YSI-14,Docking Station USB 3.0 Original Price $180.00,Electronics: Cables and Chargers,1.0,$65.00,,On Sale,,,,
YSI-21,Eye Glasses - Black,Accessories: Glasses,1.0,$5.00,,On Sale,,,,
YSI-19,Eye Glasses - Blue,Accessories: Glasses,1.0,$5.00,,On Sale,,,,
YSI-16,Glassware: Nightmare before Christmas jack Skellington collectors shot glasses. ,Kitchenware: Glassware,1.0,$10.00,,On Sale,,,,
YSI-18,Handbag Brown,Accessories: Bags,1.0,$10.00,,On Sale,,,,
YSI-32,Holiday Wrapping Paper,Accessories: Holiday Supplies,1.0,$1.00,,On Sale,,,,
YSI-22,Knee Shin Guards,Accessories: Sports Gear,2.0,$10.00,,On Sale,,,,
YSI-1,Lights-LED-Stage-Tall,Lighting Equipment,1.0,$15.00,,On Sale,,,,
YSI-31,Photo Album,Accessories: Photo Albums,1.0,$2.00,,On Sale,,,,
YSI-24,Red Womens Shoes - Tennis Size 11,Accessories: Shoes,1.0,$10.00,,On Sale,,,,
YSI-15,Smart Home Amazon Thermostat No Pump,Electronics: Smart Home Devices,1.0,$20.00,,On Sale,,,,
YSI-34,T-Shift Womens - Graphic Sugar Skull,,1.0,,,On Sale,,,,
YSI-10,T-Shirt - Graphic - “Kiss Destroyer”,Clothing: Men's Clothes,1.0,$5.00,,On Sale,,,,
YSI-17,T-Shirt - Graphic - “Sorry…Selective Hearing”,Clothing: Men's Clothes,1.0,$2.00,,On Sale,,,,
YSI-33,T-Shirt Mens - Graphic california,Clothing: Men's Clothes,1.0,,,Sold,,,,
YSI-25,USB to HDMI Splitter,Electronics: Cables and Chargers,1.0,$5.00,,On Sale,,,,
YSI-3,USB to USB-C - Black,Electronics: Cables and Chargers,3.0,$1.00,,On Sale,,,,
YSI-6,USB to USB-C - White - Short,Electronics: Cables and Chargers,1.0,$1.00,,On Sale,,,,
YSI-20,Wallet - Womens Guess Black,Accessories: Bags,1.0,$5.00,,On Sale,,,,
YSI-30,Wifi Adapter TP Link,Electronics: Smart Home Devices,1.0,$5.00,,On Sale,,,,
YSI-23,Wifi Extender - TpLink,Electronics: Smart Home Devices,1.0,$5.00,,On Sale,,,,
YSI-28,Wifi Extender Netgear,Electronics: Smart Home Devices,1.0,$5.00,,On Sale,,,,
YSI-29,Wifi Extender TPLink,Electronics: Smart Home Devices,1.0,$5.00,,On Sale,,,,
YSI-9,Wrist Watch - Casio G Shock Womens Blue,Accessories: Watches,1.0,$5.00,,On Sale,,,,
YSI-8,Wrist Watch - Casio G Shock Womens Pink,Accessories: Watches,1.0,$5.00,,On Sale,,,,
YSI-7,Wrist Watch - Old Wrangler,Accessories: Watches,1.0,$5.00,,On Sale,,,,
YSI-1,Lights-LED-Stage-Tall,Lighting Equipment,1.0,$15.00,$15.00,On Sale,,,,Overall Progress (Overall%20Progress%20843e8c8a75434f88b639958012e11acb.csv)
YSI-2,Aux Cable Black,Electronics: Cables and Chargers,2.0,$1.00,$2.00,On Sale,,,,Overall Progress (Overall%20Progress%20843e8c8a75434f88b639958012e11acb.csv)
YSI-3,USB to USB-C - Black,Electronics: Cables and Chargers,3.0,$1.00,$3.00,On Sale,,,,Overall Progress (Overall%20Progress%20843e8c8a75434f88b639958012e11acb.csv)
YSI-4,Aux Cable Gray - HD,Electronics: Cables and Chargers,1.0,$3.00,$3.00,On Sale,,,,Overall Progress (Overall%20Progress%20843e8c8a75434f88b639958012e11acb.csv)
YSI-5,Data Cable Scan Print Black,Electronics: Cables and Chargers,1.0,$1.00,$1.00,On Sale,,,,Overall Progress (Overall%20Progress%20843e8c8a75434f88b639958012e11acb.csv)
YSI-6,USB to USB-C - White - Short,Electronics: Cables and Chargers,1.0,$1.00,$1.00,On Sale,,,,Overall Progress (Overall%20Progress%20843e8c8a75434f88b639958012e11acb.csv)
YSI-7,Wrist Watch - Old Wrangler,Accessories: Watches,1.0,$5.00,$5.00,On Sale,,,,Overall Progress (Overall%20Progress%20843e8c8a75434f88b639958012e11acb.csv)
YSI-8,Wrist Watch - Casio G Shock Womens Pink,Accessories: Watches,1.0,$5.00,$5.00,On Sale,,,,Overall Progress (Overall%20Progress%20843e8c8a75434f88b639958012e11acb.csv)
YSI-9,Wrist Watch - Casio G Shock Womens Blue,Accessories: Watches,1.0,$5.00,$5.00,On Sale,,,,Overall Progress (Overall%20Progress%20843e8c8a75434f88b639958012e11acb.csv)
YSI-10,T-Shirt - Graphic - “Kiss Destroyer”,Clothing: Men's Clothes,1.0,$5.00,$5.00,On Sale,,,,Overall Progress (Overall%20Progress%20843e8c8a75434f88b639958012e11acb.csv)
YSI-11,Decorative Canvas Painting 5*7 “Family Rules”,Accessories: Home Accessories,1.0,$2.00,$2.00,On Sale,,,,Overall Progress (Overall%20Progress%20843e8c8a75434f88b639958012e11acb.csv)
YSI-12,Decorative Canvas Painting 5*7 “Imagine Create Dream”,Accessories: Home Accessories,1.0,$2.00,$2.00,On Sale,,,,Overall Progress (Overall%20Progress%20843e8c8a75434f88b639958012e11acb.csv)
YSI-13,Decorative Canvas Painting 5*7 “Best Friends”,Accessories: Home Accessories,1.0,$2.00,$2.00,On Sale,,,,Overall Progress (Overall%20Progress%20843e8c8a75434f88b639958012e11acb.csv)
YSI-14,Docking Station USB 3.0 Original Price $180.00,Electronics: Cables and Chargers,1.0,$65.00,$65.00,On Sale,,,,Overall Progress (Overall%20Progress%20843e8c8a75434f88b639958012e11acb.csv)
YSI-15,Smart Home Amazon Thermostat No Pump,Electronics: Smart Home Devices,1.0,$20.00,$20.00,On Sale,,,,Overall Progress (Overall%20Progress%20843e8c8a75434f88b639958012e11acb.csv)
YSI-16,Glassware: Nightmare before Christmas jack Skellington collectors shot glasses. ,Kitchenware: Glassware,1.0,$10.00,$10.00,On Sale,,,,Overall Progress (Overall%20Progress%20843e8c8a75434f88b639958012e11acb.csv)
YSI-17,T-Shirt - Graphic - “Sorry…Selective Hearing”,Clothing: Men's Clothes,1.0,$2.00,$2.00,On Sale,,,,Overall Progress (Overall%20Progress%20843e8c8a75434f88b639958012e11acb.csv)
YSI-18,Handbag Brown,Accessories: Bags,1.0,$10.00,$10.00,On Sale,,,,Overall Progress (Overall%20Progress%20843e8c8a75434f88b639958012e11acb.csv)
YSI-19,Eye Glasses - Blue,Accessories: Glasses,1.0,$5.00,$5.00,On Sale,,,,Overall Progress (Overall%20Progress%20843e8c8a75434f88b639958012e11acb.csv)
YSI-20,Wallet - Womens Guess Black,Accessories: Bags,1.0,$5.00,$5.00,On Sale,,,,Overall Progress (Overall%20Progress%20843e8c8a75434f88b639958012e11acb.csv)
YSI-21,Eye Glasses - Black,Accessories: Glasses,1.0,$5.00,$5.00,On Sale,,,,Overall Progress (Overall%20Progress%20843e8c8a75434f88b639958012e11acb.csv)
YSI-22,Knee Shin Guards,Accessories: Sports Gear,2.0,$10.00,$20.00,On Sale,,,,Overall Progress (Overall%20Progress%20843e8c8a75434f88b639958012e11acb.csv)
YSI-23,Wifi Extender - TpLink,Electronics: Smart Home Devices,1.0,$5.00,$5.00,On Sale,,,,Overall Progress (Overall%20Progress%20843e8c8a75434f88b639958012e11acb.csv)
YSI-24,Red Womens Shoes - Tennis Size 11,Accessories: Shoes,1.0,$10.00,$10.00,On Sale,,,,Overall Progress (Overall%20Progress%20843e8c8a75434f88b639958012e11acb.csv)
YSI-25,USB to HDMI Splitter,Electronics: Cables and Chargers,1.0,$5.00,$5.00,On Sale,,,,Overall Progress (Overall%20Progress%20843e8c8a75434f88b639958012e11acb.csv)
YSI-26,Book - Girl in Pieces,Books,1.0,$2.00,$2.00,On Sale,,,,Overall Progress (Overall%20Progress%20843e8c8a75434f88b639958012e11acb.csv)
YSI-27,Empty,,,,$0.00,Pending,,,,Overall Progress (Overall%20Progress%20843e8c8a75434f88b639958012e11acb.csv)
YSI-28,Wifi Extender Netgear,Electronics: Smart Home Devices,1.0,$5.00,$5.00,On Sale,,,,Overall Progress (Overall%20Progress%20843e8c8a75434f88b639958012e11acb.csv)
YSI-29,Wifi Extender TPLink,Electronics: Smart Home Devices,1.0,$5.00,$5.00,On Sale,,,,Overall Progress (Overall%20Progress%20843e8c8a75434f88b639958012e11acb.csv)
YSI-30,Wifi Adapter TP Link,Electronics: Smart Home Devices,1.0,$5.00,$5.00,On Sale,,,,Overall Progress (Overall%20Progress%20843e8c8a75434f88b639958012e11acb.csv)
YSI-31,Photo Album,Accessories: Photo Albums,1.0,$2.00,$2.00,On Sale,,,,Overall Progress (Overall%20Progress%20843e8c8a75434f88b639958012e11acb.csv)
YSI-32,Holiday Wrapping Paper,Accessories: Holiday Supplies,1.0,$1.00,$1.00,On Sale,,,,Overall Progress (Overall%20Progress%20843e8c8a75434f88b639958012e11acb.csv)
August 3 (August%203%204056f26bdf4c47e38e61a1c8d2e99f6b.csv),T-Shirt Mens - Graphic california,Clothing: Men's Clothes,,YSI-33,,$1.00,Sold,"August 3,2024",1.0,Overall Progress (Overall%20Progress%20843e8c8a75434f88b639958012e11acb.csv)
YSI-34,T-Shift Womens - Graphic Sugar Skull,,1.0,,$0.00,On Sale,,,,Overall Progress (Overall%20Progress%20843e8c8a75434f88b639958012e11acb.csv)
