COA-CODE,COA-NAME,TAX-FORM,TAX-Schedule_C_Line_Items,Credit Accounts
1101,QUICKBOOKS DEBIT CARD,Schedule C,Part X - 1. Asset Account (Part%20X%20-%201%20Asset%20Account%20d80fcf0cb1af416694a837eb332e0e35.md),
2111,Regional Finance,,,
2111.SF,Self,,,
1101,Self CD Account Joel,Schedule C,Part X - 1. Asset Account (Part%20X%20-%201%20Asset%20Account%20d80fcf0cb1af416694a837eb332e0e35.md),
2111.SF9250745,Self Credit Card,,,
2111.SF,Self Credit Card Joel,,,
2111.SF,Self Loan Account Joel,,,
1101,SQUAREUP DEBIT CARD SRV CAPITAL HOLDINGS INC.,Schedule C,Part X - 1. Asset Account (Part%20X%20-%201%20Asset%20Account%20d80fcf0cb1af416694a837eb332e0e35.md),
1101,SQUAREUP DEBIT CARD SRV PROPERTY GROUP LLC,Schedule C,Part X - 1. Asset Account (Part%20X%20-%201%20Asset%20Account%20d80fcf0cb1af416694a837eb332e0e35.md),
1101,SQUAREUP DEBIT CARD SRV TAX-N-MULTISERVICE LLC LAFAYETTE,Schedule C,Part X - 1. Asset Account (Part%20X%20-%201%20Asset%20Account%20d80fcf0cb1af416694a837eb332e0e35.md),
1101,SQUAREUP DEBIT CARD SRVGROUP.CO,Schedule C,Part X - 1. Asset Account (Part%20X%20-%201%20Asset%20Account%20d80fcf0cb1af416694a837eb332e0e35.md),
,THE HOME DEPOT,,,
,Unsecured Personal Loans,,,
