Tag Name,Description,Parent Item,Tag Id,Status
Hardware Setup,,,zcrm_6789162000002321173,active
Health,Wellness and medical information,Project Tags (Project%20Tags%2022af84a04402804b8eabe90b93705b77.md),,active
History,Historical events and perspectives,Knowledge Domain Tags (Knowledge%20Domain%20Tags%2022af84a04402803ba1bdd1757268874e.md),,active
HR Analytics,,,zcrm_6789162000002321291,active
HR Compliance,,,zcrm_6789162000002321299,active
HR Implementation,,,zcrm_6789162000002321322,active
HR Policy Development,,,zcrm_6789162000002321305,active
HR Services,,,zcrm_6789162000002321282,active
HR Solutions,,,zcrm_6789162000002321273,active
Ideas,Concepts and brainstorming,Value Tags (Value%20Tags%2022af84a04402804196b0f3fad1d210f3.md),,active
Implementation Planning,,,zcrm_6789162000002321155,active
Important,High value but not necessarily urgent,Priority Tags (Priority%20Tags%2022af84a04402807684c3c0b4b8d481e6.md),,active
Infrastructure,,,zcrm_6789162000002321181,active
InProgress,Currently being worked on,Status Tags (Status%20Tags%2022af84a0440280829373e4678497fdef.md),,active
Inspiration,Motivational content,Value Tags (Value%20Tags%2022af84a04402804196b0f3fad1d210f3.md),,active
Installation Services,,,zcrm_6789162000002321174,active
Intake,,,zcrm_6789162000002601068,active
Integration,,,zcrm_6789162000002321314,active
IT Training,,,zcrm_6789162000002321191,active
JournalDB,Personal reflection databases,Custom Database Tags (Custom%20Database%20Tags%2022af84a044028048b5a6ce96b05688ad.md),,active
KeyInsight,Important realizations,Value Tags (Value%20Tags%2022af84a04402804196b0f3fad1d210f3.md),,active
Language Services,,,zcrm_6789162000002321260,active
Learning,Educational resources,Value Tags (Value%20Tags%2022af84a04402804196b0f3fad1d210f3.md),,active
Leave Management,,,zcrm_6789162000002321274,active
Legal Document Preparati,,,zcrm_6789162000002321251,active
Legal Document Preparatio,,,zcrm_6789162000002321229,active
Letters,,,,active
Logistics Management,,,zcrm_6789162000002321336,active
LowPriority,Can be addressed later,Priority Tags (Priority%20Tags%2022af84a04402807684c3c0b4b8d481e6.md),,active
Lyft,,,zcrm_6789162000001328170,active
Maintenance,,,zcrm_6789162000002321196,active
Monthly,Monthly check-ins or reviews,Time-Based Tags (Time-Based%20Tags%2022af84a04402800ea26fddee894568af.md),,active
Owner,,,zcrm_6789162000003044011,active
packet_sent,,,zcrm_6789162000001987813,active
Pashto,,,zcrm_6789162000001328171,active
Payment Received,,,zcrm_6789162000001991200,active
Payment Requested,,,zcrm_6789162000001991192,active
People Solutions,,,zcrm_6789162000002321283,active
Performance Improvement,,,zcrm_6789162000002321323,active
Personal,Personal development and life items,Project Tags (Project%20Tags%2022af84a04402804b8eabe90b93705b77.md),,active
Philosophy,Conceptual thinking and ideas,Knowledge Domain Tags (Knowledge%20Domain%20Tags%2022af84a04402803ba1bdd1757268874e.md),,active
Podcast,Audio episodes and series,Content Type Tags (Content%20Type%20Tags%2022af84a044028028bb4ad27c36cf1bc0.md),,active
Print Services,,,zcrm_6789162000002321239,active
Private,,,,active
ProjectDB,Project tracking databases,Custom Database Tags (Custom%20Database%20Tags%2022af84a044028048b5a6ce96b05688ad.md),,active
Psychology,Mental processes and behavior,Knowledge Domain Tags (Knowledge%20Domain%20Tags%2022af84a04402803ba1bdd1757268874e.md),,active
Quarterly,Quarter-based reviews or goals,Time-Based Tags (Time-Based%20Tags%2022af84a04402800ea26fddee894568af.md),,active
quote_accepted,,,zcrm_6789162000001991140,active
ready_for_review,,,zcrm_6789162000001991144,active
Recommendation,Suggested by others,Source Tags (Source%20Tags%2022af84a0440280c6bf93caf6c65c2d8f.md),,active
Recurring,Repeating tasks or items,Status Tags (Status%20Tags%2022af84a0440280829373e4678497fdef.md),,active
Reference,Cited in other materials,Source Tags (Source%20Tags%2022af84a0440280c6bf93caf6c65c2d8f.md),,active
Regulatory Compliance,,,zcrm_6789162000002321144,active
RemoteSupport,,,zcrm_6789162000002321186,active
Reporting,,,zcrm_6789162000002321119,active
Research,Information gathering and analysis,Project Tags (Project%20Tags%2022af84a04402804b8eabe90b93705b77.md),,active
Resource,Reference materials and guides,Content Type Tags (Content%20Type%20Tags%2022af84a044028028bb4ad27c36cf1bc0.md),,active
ResourceDB,Knowledge and resource libraries,Custom Database Tags (Custom%20Database%20Tags%2022af84a044028048b5a6ce96b05688ad.md),,active
Roommate,,,zcrm_6789162000001328168,active
Science,Scientific fields and discoveries,Knowledge Domain Tags (Knowledge%20Domain%20Tags%2022af84a04402803ba1bdd1757268874e.md),,active
Service Offering,,,zcrm_6789162000002321252,active
Service Pricing,,,zcrm_6789162000002321240,active
Shipping Services,,,zcrm_6789162000002321337,active
SideProject,Non-primary ventures,Project Tags (Project%20Tags%2022af84a04402804b8eabe90b93705b77.md),,active
Software Solutions,,,zcrm_6789162000002321163,active
Solutions,Problem-solving approaches,Value Tags (Value%20Tags%2022af84a04402804196b0f3fad1d210f3.md),,active
ssn_review_started,,,zcrm_6789162000001987513,active
Strategic Consulting,,,zcrm_6789162000002321156,active
Support,,,zcrm_6789162000002321138,active
TaskDB,Task and to-do databases,Custom Database Tags (Custom%20Database%20Tags%2022af84a044028048b5a6ce96b05688ad.md),,active
Tax Compliance,,,zcrm_6789162000002321125,active
Tax Worksheet,,,zcrm_6789162000002321130,active
Taxation,,,zcrm_6789162000002321131,active
Technology,Tech-related content and tools,Knowledge Domain Tags (Knowledge%20Domain%20Tags%2022af84a04402803ba1bdd1757268874e.md),,active
Telecom Services,,,zcrm_6789162000002321208,active
Tool,"Software,applications,and physical tools",,,active
ToRead,Content to be consumed later,Status Tags (Status%20Tags%2022af84a0440280829373e4678497fdef.md),,active
ToShare,Content to distribute to others,Interaction Tags (Interaction%20Tags%2022af84a044028029ae1dc33d2b54ff8d.md),,active
Trade,,,zcrm_6789162000003044009,active
Training Development,,,zcrm_6789162000002321324,active
unpaid,,,zcrm_6789162000003150093,active
Urgent,Requires immediate attention,Priority Tags (Priority%20Tags%2022af84a04402807684c3c0b4b8d481e6.md),,active
Utility Management,,,zcrm_6789162000002321209,active
Video,"YouTube videos,short-form content",Content Type Tags (Content%20Type%20Tags%2022af84a044028028bb4ad27c36cf1bc0.md),,active
waiting_card,,,zcrm_6789162000001991196,active
WebRequest,,,zcrm_6789162000001418980,active
Website Development,,,zcrm_6789162000002321216,active
Weekly,Weekly recurring items,Time-Based Tags (Time-Based%20Tags%2022af84a04402800ea26fddee894568af.md),,active
Work,Professional projects and tasks,Project Tags (Project%20Tags%2022af84a04402804b8eabe90b93705b77.md),,active
